Country Name,Country Code,Series Name,Series Code,Year,Value
Benin,BEN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Benin,BEN,Oil,EG.ELC.PETR.ZS,1973.0,100.0
Benin,BEN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
Benin,BEN,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Benin,BEN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
Benin,BEN,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Bolivia,BOL,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Bolivia,BOL,Natural Gas,EG.ELC.NGAS.ZS,1973.0,4.35525192143467
Bolivia,BOL,Oil,EG.ELC.PETR.ZS,1973.0,11.6140051238258
Bolivia,BOL,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,83.0059777967549
Bolivia,BOL,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Bolivia,BOL,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,15.9692570452605
Bolivia,BOL,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,1.02476515798463
Brazil,BRA,Coal,EG.ELC.COAL.ZS,1973.0,2.1614189043043
Brazil,BRA,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Brazil,BRA,Oil,EG.ELC.PETR.ZS,1973.0,7.24129407038902
Brazil,BRA,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,89.4385563761085
Brazil,BRA,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Brazil,BRA,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,9.40271297469332
Brazil,BRA,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,1.15873064919816
Brunei Darussalam,BRN,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Brunei Darussalam,BRN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,100.0
Brunei Darussalam,BRN,Oil,EG.ELC.PETR.ZS,1973.0,0.0
Brunei Darussalam,BRN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
Brunei Darussalam,BRN,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Brunei Darussalam,BRN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
Brunei Darussalam,BRN,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Bulgaria,BGR,Coal,EG.ELC.COAL.ZS,1973.0,77.2772818364001
Bulgaria,BGR,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Bulgaria,BGR,Oil,EG.ELC.PETR.ZS,1973.0,11.0174895245036
Bulgaria,BGR,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,11.7052286390964
Bulgaria,BGR,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Bulgaria,BGR,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,88.2947713609036
Bulgaria,BGR,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Cameroon,CMR,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Cameroon,CMR,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Cameroon,CMR,Oil,EG.ELC.PETR.ZS,1973.0,4.47227191413238
Cameroon,CMR,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,95.5277280858676
Cameroon,CMR,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Cameroon,CMR,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,4.47227191413238
Cameroon,CMR,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Canada,CAN,Coal,EG.ELC.COAL.ZS,1973.0,12.9242708668881
Canada,CAN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,5.99783028054547
Canada,CAN,Oil,EG.ELC.PETR.ZS,1973.0,3.35751126513898
Canada,CAN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,72.0724523383726
Canada,CAN,Nuclear,EG.ELC.NUCL.ZS,1973.0,5.64793524905491
Canada,CAN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,22.2796124125725
Canada,CAN,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Chile,CHL,Coal,EG.ELC.COAL.ZS,1973.0,13.9972621492129
Chile,CHL,Natural Gas,EG.ELC.NGAS.ZS,1973.0,1.11795573807894
Chile,CHL,Oil,EG.ELC.PETR.ZS,1973.0,20.4768423454255
Chile,CHL,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,63.8261464750171
Chile,CHL,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Chile,CHL,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,35.5920602327173
Chile,CHL,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.581793292265572
China,CHN,Coal,EG.ELC.COAL.ZS,1973.0,57.9249387926895
China,CHN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
China,CHN,Oil,EG.ELC.PETR.ZS,1973.0,19.5483997178239
China,CHN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,22.5266614894866
China,CHN,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
China,CHN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,77.4733385105134
China,CHN,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Colombia,COL,Coal,EG.ELC.COAL.ZS,1973.0,12.4451707233164
Colombia,COL,Natural Gas,EG.ELC.NGAS.ZS,1973.0,8.69527823170207
Colombia,COL,Oil,EG.ELC.PETR.ZS,1973.0,10.5788251483616
Colombia,COL,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,68.2807258966199
Colombia,COL,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Colombia,COL,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,31.7192741033801
Colombia,COL,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
"Congo, Dem. Rep.",COD,Coal,EG.ELC.COAL.ZS,1973.0,0.0
"Congo, Dem. Rep.",COD,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
"Congo, Dem. Rep.",COD,Oil,EG.ELC.PETR.ZS,1973.0,2.07900207900208
